Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts
0,0.07333213331151955,0.010476019044502793,0.07333213331151973,0.01047601904450282,0.07333213331151973,0.01047601904450282,0.0,0.0,0.07333213331151973,0.01047601904450282,0.016704417066666588,0.016704417066666588,0.0001284955158974353,0.00808967374926471,,137,130,7,18.571428571428573,0
1,0.1132264973858661,0.010293317944169645,0.11322649738586618,0.010293317944169654,0.11322649738586618,0.010293317944169654,0.0,0.0,0.11322649738586618,0.010293317944169654,0.01870809031111098,0.01870809031111098,9.261430847084645e-05,0.008592582461341374,0.16081203203748273,213,202,11,18.363636363636363,0
2,0.19707252153456012,0.010372237975503164,0.1970725215345593,0.01037223797550312,0.1970725215345593,0.01037223797550312,0.0,0.0,0.1970725215345593,0.01037223797550312,0.025341308800000073,0.025341308800000073,6.886225217391324e-05,0.009038484880766319,0.6667963364040415,387,368,19,19.36842105263158,0
3,0.08454663001899654,0.010568328752374567,0.08454663001899525,0.010568328752374406,0.08454663001899525,0.010568328752374406,0.0,0.0,0.08454663001899525,0.010568328752374406,0.018480961066666524,0.018480961066666524,0.00012079059520697075,0.008258208619041252,1.1136440497756905,161,153,8,19.125,0
4,0.07333213331152111,0.010476019044503015,0.07333213331151973,0.01047601904450282,0.07333213331151973,0.01047601904450282,0.0,0.0,0.07333213331151973,0.01047601904450282,0.01670441706666681,0.01670441706666681,0.00012654861414141522,0.0080896737492649,0.27402307969824546,139,132,7,18.857142857142858,0
5,0.17622967619806706,0.011014354762379192,0.17622967619806748,0.011014354762379218,0.17622967619806748,0.011014354762379218,0.0,0.0,0.17622967619806748,0.011014354762379218,0.02423029064896598,0.02423029064896598,7.918395636916987e-05,0.009499961596818818,0.12335834797991208,322,306,16,19.125,0
6,0.11534131882053655,0.011534131882053655,0.1045582300117241,0.010455823001172409,0.1045582300117241,0.010455823001172409,0.0,0.010783088808812291,0.1045582300117241,0.010455823001172409,0.029341632453256494,0.018558543644444203,9.56625961053825e-05,0.008599968636728007,0.013447201840153689,204,194,10,19.4,0
7,0.19332360497403744,0.011371976763178674,0.19332360497403758,0.01137197676317868,0.19332360497403758,0.01137197676317868,0.0,0.0,0.19332360497403758,0.01137197676317868,0.024239583187301683,0.024239583187301683,7.574869746031777e-05,0.009946118928631516,0.5247460006112861,337,320,17,18.823529411764707,0
8,0.18326390798033243,0.010780229881196025,0.17862181449421144,0.010507165558483026,0.17862181449421144,0.010507165558483026,0.0,0.004642093486121102,0.17862181449421144,0.010507165558483026,0.029999128660724406,0.025357035174603304,7.524342781781396e-05,0.00901557525409459,0.12451320948341182,354,337,17,19.823529411764707,0
9,0.06993024424485483,0.00999003489212212,0.06993024424485307,0.009990034892121868,0.06993024424485307,0.009990034892121868,0.0,0.0,0.06993024424485307,0.009990034892121868,0.013319808000000322,0.013319808000000322,0.00010829112195122212,0.008087205177836359,0.828869047111549,130,123,7,17.571428571428573,0
10,0.19807099620122592,0.010424789273748732,0.19807099620122595,0.010424789273748734,0.19807099620122595,0.010424789273748734,0.0,0.0,0.19807099620122595,0.010424789273748734,0.02611053546666664,0.02611053546666664,6.9258714765694e-05,0.009050550564976804,0.8194829310452754,396,377,19,19.842105263157894,0
11,0.09246626130425017,0.010274029033805575,0.09246626130424863,0.010274029033805403,0.09246626130424863,0.010274029033805403,0.0,0.0,0.09246626130424863,0.010274029033805403,0.016962639644444444,0.016962639644444444,9.529572833957553e-05,0.00838929129553397,0.20794754324929077,187,178,9,19.77777777777778,0
12,0.14260016478771398,0.010969243445208767,0.1426001647877141,0.010969243445208776,0.1426001647877141,0.010969243445208776,0.0,0.0,0.1426001647877141,0.010969243445208776,0.019066395938816427,0.019066395938816427,7.81409669623624e-05,0.00950259760376135,1.5,257,244,13,18.76923076923077,0
13,0.09393383911773512,0.01174172988971689,0.0857264060189953,0.010715800752374412,0.0857264060189953,0.010715800752374412,0.0,0.008207433098739614,0.0857264060189953,0.010715800752374412,0.02708641016540625,0.018878977066666636,0.00012024826157112506,0.008355928619041109,0.04866632566997886,165,157,8,19.625,0
14,0.18701554320168334,0.01038975240009352,0.18701554320168692,0.010389752400093717,0.18701554320168692,0.010389752400093717,0.0,0.0,0.18701554320168692,0.010389752400093717,0.024873067174603136,0.024873067174603136,7.294154596657812e-05,0.00900791533483779,0.9402768708165699,359,341,18,18.944444444444443,0
15,0.21204981554997104,0.010602490777498553,0.21204981554997146,0.010602490777498573,0.21204981554997146,0.010602490777498573,0.0,0.0,0.21204981554997146,0.010602490777498573,0.03034778610793687,0.03034778610793687,7.821594357715687e-05,0.009085101472101708,0.8228649697026285,408,388,20,19.4,0
16,0.26966527711096333,0.011236053212956806,0.2696652771109745,0.011236053212957271,0.2696652771109745,0.011236053212957271,0.0,0.0,0.2696652771109745,0.011236053212957271,0.035567358105243585,0.035567358105243585,7.456469204453581e-05,0.009754079958571657,0.3841812120150845,501,477,24,19.875,0
17,0.18443261900606522,0.010848977588592072,0.17733017076087812,0.010431186515345772,0.17733017076087812,0.010431186515345772,0.0,0.0071024482452006765,0.17733017076087812,0.010431186515345772,0.031827935686470354,0.024725487441269678,7.678722807847726e-05,0.008976746077623228,0.23783734142449298,339,322,17,18.941176470588236,0
18,0.18700479424929206,0.01038915523607178,0.18700479424930605,0.010389155236072558,0.18700479424930605,0.010389155236072558,0.0,0.0,0.18700479424930605,0.010389155236072558,0.024862318222222513,0.024862318222222513,7.164933205251445e-05,0.009007915334837198,0.8842304922927511,365,347,18,19.27777777777778,0
19,0.1769200679037226,0.010407062817866035,0.17692006790373527,0.010407062817866781,0.17692006790373527,0.010407062817866781,0.0,0.0,0.17692006790373527,0.010407062817866781,0.02431538458412774,0.02431538458412774,7.323911019315585e-05,0.008976746077623228,0.9891899676717077,349,332,17,19.529411764705884,0
20,0.07472419731152158,0.010674885330217368,0.07472419731151975,0.010674885330217107,0.07472419731151975,0.010674885330217107,0.0,0.0,0.07472419731151975,0.010674885330217107,0.01809648106666728,0.01809648106666728,0.0001311339207729513,0.0080896737492649,0.6096647861239148,145,138,7,19.714285714285715,0
21,0.1437817926783893,0.011981816056532443,0.14378179267839078,0.011981816056532564,0.14378179267839078,0.011981816056532564,0.0,0.0,0.14378179267839078,0.011981816056532564,0.019299584000000536,0.019299584000000536,8.502019383260148e-05,0.01037351738986573,0.12931948517358194,239,227,12,18.916666666666668,0
22,0.13085292957132033,0.01189572087012003,0.12477558467839073,0.011343234970762794,0.12477558467839073,0.011343234970762794,0.0,0.0060773448929314355,0.12477558467839073,0.011343234970762794,0.025183451204043195,0.01910610631111176,9.274808888889203e-05,0.009606316215207012,0.041577761229495636,217,206,11,18.727272727272727,0
23,0.12487521585295802,0.010406267987746501,0.1242797837822307,0.010356648648519226,0.1242797837822307,0.010356648648519226,0.0,0.0005954320707299843,0.1242797837822307,0.010356648648519226,0.020293256070729626,0.019697823999999642,8.872893693693533e-05,0.0087151633151857,0.05323691725573987,234,222,12,18.5,0
24,0.1330713672814312,0.010236259021648554,0.13307136728143298,0.01023625902164869,0.13307136728143298,0.01023625902164869,0.0,0.0,0.13307136728143298,0.01023625902164869,0.019385278791727245,0.019385278791727245,7.602070114402841e-05,0.008745083729977229,0.504867437767242,268,255,13,19.615384615384617,0
25,0.10320309401172345,0.010320309401172345,0.103203094011724,0.0103203094011724,0.103203094011724,0.0103203094011724,0.0,0.0,0.103203094011724,0.0103203094011724,0.018136527644443845,0.018136527644443845,9.159862446688811e-05,0.00850665663672796,0.2311613751262218,208,198,10,19.8,0
26,0.25386968067750537,0.010577903361562724,0.2538696806775167,0.010577903361563196,0.2538696806775167,0.010577903361563196,0.0,0.0,0.2538696806775167,0.010577903361563196,0.0349803204055803,0.0349803204055803,7.555144796021663e-05,0.009120390011330212,0.15528966056999316,487,463,24,19.291666666666668,0
27,0.22279286159740863,0.012377381199856034,0.22279286159741424,0.012377381199856347,0.22279286159741424,0.012377381199856347,0.0,0.0,0.22279286159741424,0.012377381199856347,0.024873067174603136,0.024873067174603136,7.251623082974675e-05,0.010995544134600306,0.5221123173529385,361,343,18,19.055555555555557,0
