Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts
0,0.07339803290043312,0.010485433271490445,0.07339803290043295,0.010485433271490421,0.07339803290043295,0.010485433271490421,0.0,0.0,0.07339803290043295,0.010485433271490421,0.016763781929004296,0.016763781929004296,0.00012895216868464844,0.008090607281632689,,137,130,7,18.571428571428573,0
1,0.11321082001944704,0.01029189272904064,0.11321082001944734,0.010291892729040667,0.11321082001944734,0.010291892729040667,0.0,0.0,0.11321082001944734,0.010291892729040667,0.018682161733732938,0.018682161733732938,9.248594917689574e-05,0.008593514389610373,0.16081203203748273,213,202,11,18.363636363636363,0
2,0.19707250266942689,0.010372236982601415,0.19707250266942833,0.010372236982601491,0.19707250266942833,0.010372236982601491,0.0,0.0,0.19707250266942833,0.010372236982601491,0.025286101755142454,0.025286101755142454,6.871223303027841e-05,0.009041389521804444,0.6667963364040415,387,368,19,19.36842105263158,0
3,0.08459562869841131,0.010574453587301413,0.08459562869841278,0.010574453587301597,0.08459562869841278,0.010574453587301597,0.0,0.0,0.08459562869841278,0.010574453587301597,0.018522335898412567,0.018522335898412567,0.00012106101894387299,0.008259161599999842,1.1136440497756905,161,153,8,19.125,0
4,0.07339803290043179,0.010485433271490254,0.07339803290043295,0.010485433271490421,0.07339803290043295,0.010485433271490421,0.0,0.0,0.07339803290043295,0.010485433271490421,0.016763781929004296,0.016763781929004296,0.00012699834794700223,0.008090607281632498,0.27402307969824546,139,132,7,18.857142857142858,0
5,0.18530955436564378,0.011581847147852736,0.16716276187635473,0.01044767261727217,0.16716276187635473,0.01044767261727217,0.018146792489288632,0.0,0.18530955436564336,0.01158184714785271,0.024239406447783107,0.024239406447783107,7.92137465613827e-05,0.010066884244866292,0.12335834797991208,322,306,16,19.125,0
6,0.11494637355406168,0.011494637355406168,0.10415416894643147,0.010415416894643146,0.10415416894643147,0.010415416894643146,0.0,0.010792204607629419,0.10415416894643147,0.010415416894643146,0.02893899709691805,0.018146792489288632,9.354016747055996e-05,0.008600737645714363,0.013447201840153689,204,194,10,19.4,0
7,0.20259551025545042,0.011917382956202966,0.17774048007318008,0.010455322357245887,0.17774048007318008,0.010455322357245887,0.024855030182270976,0.0,0.20259551025545106,0.011917382956203003,0.024243362816037006,0.024243362816037006,7.576050880011564e-05,0.01049130279055373,0.5247460006112861,337,320,17,18.823529411764707,0
8,0.1830325288863235,0.010766619346254322,0.17835214743941386,0.010491302790553755,0.17835214743941386,0.010491302790553755,0.0,0.004680381446910076,0.17835214743941386,0.010491302790553755,0.029535411629181052,0.024855030182270976,7.3753798760448e-05,0.009029242191596613,0.12451320948341182,354,337,17,19.823529411764707,0
9,0.06986851748571432,0.009981216783673474,0.06986851748571432,0.009981216783673474,0.06986851748571432,0.009981216783673474,0.0,0.0,0.06986851748571432,0.009981216783673474,0.013244506514285881,0.013244506514285881,0.00010767891475029172,0.008089144424489778,0.828869047111549,130,123,7,17.571428571428573,0
